date,equity
2020-11-18,705155.5204007823
2020-11-19,715285.4160636527
2020-11-22,713070.1579900985
2020-11-23,710215.1818697607
2020-11-24,717985.382163399
2020-11-25,738270.2529056615
2020-11-26,746162.7695872695
2020-11-29,766423.8518881652
2020-11-30,780683.3149648748
2020-12-01,777027.6894577482
2020-12-02,804379.1333241867
2020-12-03,800950.3103009176
2020-12-06,760883.6589971711
2020-12-07,789120.1452616586
2020-12-08,798305.5642883803
2020-12-09,778345.7135902464
2020-12-10,777969.6915959482
2020-12-13,789711.3202201509
2020-12-14,808200.7115597249
2020-12-15,801661.7933563015
2020-12-16,796450.6857849859
2020-12-17,790716.3009231192
2020-12-20,759969.5337363404
2020-12-21,767855.7840492305
2020-12-22,806422.1021502785
2020-12-23,815883.0446493633
2020-12-24,805354.8415653987
2020-12-27,788658.3551405682
2020-12-28,787900.9496145166
2020-12-29,785883.2991937167
2020-12-30,754581.0829172538
2020-12-31,739570.940416325
2021-01-03,760296.5427160942
2021-01-04,763439.632079305
2021-01-05,767419.5097497707
2021-01-06,765743.7841096193
2021-01-07,774870.0934222925
2021-01-10,780822.2322814277
2021-01-11,784868.6788507939
2021-01-12,792578.5010724642
2021-01-13,803607.8968220431
2021-01-17,811185.6297856325
2021-01-18,815541.4873892239
2021-01-19,822981.0213461736
2021-01-20,838741.7370732462
2021-01-21,854729.4497846316
2021-01-24,858519.4490441119
2021-01-25,862815.4929768516
2021-01-26,861527.1016788101
2021-01-27,854600.1229919555
2021-01-28,860177.0666440916
2021-01-31,841468.9610764494
2021-02-01,847641.1918442352
2021-02-02,875510.0561815504
2021-02-03,876836.8531979092
2021-02-04,883087.2082941462
2021-02-07,919028.9384466828
2021-02-08,917869.6351998361
2021-02-09,908922.3392784138
2021-02-10,918003.6823666478
2021-02-11,915536.8247988995
2021-02-14,912146.7467676031
2021-02-15,960794.2299785725
2021-02-16,961079.532511464
2021-02-17,959990.1482643685
2021-02-18,953385.2028306595
2021-02-21,952253.7514674682
2021-02-22,953462.4436498347
2021-02-23,959425.6685051167
2021-02-24,956021.4008255027
2021-02-25,939667.8815136146
2021-02-28,919430.6168262277
2021-03-01,933408.2213259694
2021-03-02,909412.8481989668
2021-03-03,897535.4562116612
2021-03-04,926429.1411560727
2021-03-07,923853.1920209507
2021-03-09,917672.8575005381
2021-03-10,878849.547716878
2021-03-14,858239.7894415412
2021-03-15,843510.7280194644
2021-03-16,841950.6859505218
2021-03-17,859582.5921222842
2021-03-18,867724.3260119502
2021-03-21,887165.4508116122
2021-03-22,862535.3123840926
2021-03-23,864172.4724904262
2021-03-24,868673.6306306978
2021-03-25,858384.8674739893
2021-03-29,857094.5370868574
2021-03-30,867372.278036625
2021-03-31,876454.8530745485
2021-04-01,876599.2761499946
2021-04-04,892977.6852442884
2021-04-05,892039.7854241905
2021-04-06,895861.6888629342
2021-04-07,894334.6881975745
2021-04-08,893544.7380423072
2021-04-12,901664.909384351
2021-04-13,904305.6116598926
2021-04-15,906293.2354438531
2021-04-18,893855.3101095854
2021-04-19,884743.6718049123
2021-04-20,889415.1067338907
2021-04-21,878299.4769697926
2021-04-22,881128.1560764302
2021-04-25,857968.7715396323
2021-04-26,839436.4366704406
2021-04-27,871757.087135708
2021-04-28,868571.9886881863
2021-04-29,876821.4644637826
2021-05-02,900852.3211750829
2021-05-03,897817.6135041532
2021-05-04,898607.6058301189
2021-05-05,899920.9980402999
2021-05-06,890125.8815479751
2021-05-09,884441.9244508038
2021-05-10,888507.3795418936
2021-05-11,895538.424544685
2021-05-12,892610.7681215673
2021-05-13,898156.2772932883
2021-05-16,923757.2190518822
2021-05-17,935351.8930262803
2021-05-18,948522.0852524582
2021-05-19,948632.2784301321
2021-05-20,946192.6983231838
2021-05-23,954814.8172497507
2021-05-24,970047.7034625331
2021-05-25,973448.6748683248
2021-05-27,977351.1297527816
2021-05-30,973220.1795253557
2021-05-31,952845.951614301
2021-06-01,946457.1695108344
2021-06-02,964127.2826829293
2021-06-03,968561.8593874649
2021-06-06,970653.660675056
2021-06-07,972526.3132611268
2021-06-08,978153.8384134779
2021-06-09,990334.8265279272
2021-06-10,1000779.6849762317
2021-06-13,1022562.6729107571
2021-06-14,1019629.2906030999
2021-06-15,1012240.8420493688
2021-06-16,1002799.886095567
2021-06-17,1002951.4364756242
2021-06-20,984028.8065210233
2021-06-21,960362.2186775843
2021-06-22,984826.0786674924
2021-06-23,969737.0152979114
2021-06-24,964300.5088750431
2021-06-27,961675.2647830176
2021-06-28,958596.7450764924
2021-06-29,947076.2107067019
